program_name,description,member_duties,program_benefits,terms,service_areas,skills,program_type,program_start_date,program_end_date,work_schedule,education_level,age_minimum,age_maximum,languages,accepting_applications,accept_start,accept_end,contact,listing_id,program_state,metro_area
MCNCE Salish Kootenai College,"The Salish Kootenai College AmeriCorps position is a college persistence and career coaching program aimed to facilitate the success of low-income and first-generation students on the Flathead Indian Reservation. To do so, the program engages participants in activities and instruction that encourages academic proficiency and personal discovery. 


The AmeriCorps member will serve as a College Coach. The College Coach will seek to provide comprehensive college and career preparatory services to students in one or more of the following Montana towns: Arlee, Charlo, Hot Springs, Polson, Ronan, St. Ignatius, and Two Eagle River.


Montana Campus Network for Civic Engagement (MCNCE) serves as the intermediary for this project. MCNCE is a CEO-led coalition of colleges and universities that support civic engagement, service learning, and volunteerism across the state. Every year we place cohorts of full-time, part-time, and summer AmeriCorps members with schools, colleges, nonprofits, and government agencies in Montana. The AmeriCorps projects we facilitate increase educational equity, break down barriers between higher education and community organizations, and address the root causes of poverty in communities across the state.

Further help on this page can be found by clicking here .","As an AmeriCorps member, you will coordinate and implement college and career readiness activities to assist students in selecting and preparing for an academic and future oriented pathway. You will also work within the school setting and with community partners to meet student and program needs. You will provide student mentorship, academic assistance, and career exploration activities. You will plan and lead college tours and other experiential activities, connect students with academic and work-based learning opportunities, implement student portfolio projects, coordinate and lead guest speakers and other events, and complete record keeping requirements.","Living Allowance , Education award upon successful completion of service .",Car recommended .,['Education'],"['Education', 'Youth Development', 'Teaching/Tutoring']",['AmeriCorps State / National'],01/06/2025,08/31/2025,['Part Time'],Some college,18,99,,From  01/01/2025  To  07/31/2026,01/01/2025,07/31/2026,"Adrienne vanHeumen
Dhc 20
Missoula   MT   59812
4062435181
vanheumen@mtengage.org
mtcompact.org",79746,['Montana'],
Homewood Children's Village AmeriCorps Mentor,"Homewood Children’s Village (HCV) is a non-profit organization dedicated to improving the lives of Homewood’s children while simultaneously reweaving the fabric of the community in which they live. Through collaboration, engagement, and advocacy, we offer a continuum of direct services and learning support for children and their families, from cradle to career, working diligently to address the complex challenges facing Homewood’s youth.
HCV AmeriCorps Mentors (hereafter referred to as members) contribute to this mission by serving directly in classrooms, providing small-group and one-on-one academic support in reading and math, mentoring students, and helping to redirect behaviors in alignment with school-wide expectations. Members play a key role in fostering a positive learning environment by building relationships with students, assisting teachers, and supporting school-wide initiatives and events. Through their service, members help schools improve student outcomes in academic performance, behavior, and attendance.

Further help on this page can be found by clicking here .","During the program year, members will serve an average of 35 hours per week at their assigned schools, typically from 7:45 AM to 3:15 PM. *Please note that schedules may vary based on school needs or program requirements. Members will: Provide small-group and one-on-one academic support in math and reading. Mentor students and build positive relationships to encourage social and emotional growth. Help redirect behaviors to foster a supportive and productive classroom environment. Assist teachers with implementing instructional strategies and reinforcing lesson content. Support school-wide initiatives and events that contribute to a positive school culture. Participate in professional development training led by community leaders and subject matter experts. Collaborate with school staff and fellow members to address student needs and support school goals.","Training , Stipend , Education award upon successful completion of service .","Permits attendance at school during off hours , Permits working at another job during off hours .","['Education', 'Community Outreach', 'Children/Youth']","['Leadership', 'Social Services', 'Community Organization', 'Education', 'Teaching/Tutoring', 'Team Work', 'Youth Development', 'Conflict Resolution', 'Non-Profit Management']",['AmeriCorps State / National'],08/25/2025,06/29/2026,['Full Time'],,None,None,,From  03/01/2025  To  07/28/2025,03/01/2025,07/28/2025,"Gayle Rabare
801 N Homewood Ave
Pittsburgh   PA   15208
4127277605
grabare@hcvpgh.org
https://hcvpgh.org/about/hcv-americorps/",126314,['Pennsylvania'],['Pittsburgh']
Black Men's Health Clinic Navigation Infrastructure VISTA,"The City of Austin AmeriCorps VISTA Program works with City departments and local nonprofits to build capacity, in order to provide resources and services to the Austin neighborhoods and communities that may otherwise be left behind by Austin's historic disparities and future growth. The AmeriCorps members serving with the City of Austin AmeriCorps VISTA Program work in such diverse fields as education, health, waste reduction, and housing to cover the myriad ways poverty affects these neighborhoods and communities. This VISTA member will increase the capacity of BMHC by improving the coordination of their services and their training protocols, which will improve their clients' access to healthcare, a key factor in moving out of poverty.

Further help on this page can be found by clicking here .","Conduct an audit of BMHC’s current navigation workflows and referral practices. Map local community partners and service providers. Draft and pilot standardized internal navigation workflows. Develop onboarding toolkits and internal training guides for future navigation support roles. Include guidance on referral protocols, cultural competence, and resource use.","Choice of Education Award or End of Service Stipend , Relocation Allowance , Childcare assistance if eligible , Living Allowance , Health Coverage* , Training .","Permits attendance at school during off hours , Permits working at another job during off hours , Car recommended .",['Health'],"['Team Work', 'Computers/Technology', 'Public Health', 'Writing/Editing', 'Leadership', 'Communications', 'General Skills']",['AmeriCorps VISTA'],08/25/2025,08/24/2026,['Full Time'],College graduate,18,None,,From  06/30/2025  To  08/25/2025,06/30/2025,08/25/2025,"Chad Walters
5202 E. Ben White Blvd
Austin   TX   78741
2282976251
chad.walters@austintexas.gov
www.austintexas.gov/kids",126875,['Texas'],
TMA City Schools/JHU Student Volunteer Mapping and Training,"Currently, undergraduate students at JHU engage in education-based programming to support the education of Baltimore City youth primarily through tutoring. Although these programs aspire to provide Baltimore City Schools’ students with quality tutoring as well as access to valuable mentorship opportunities, there are often gaps in training across programs which we hope to address within the City Schools/JHU Mapping and Training VISTA role. The TMA AmeriCorps VISTA role will support both Baltimore City Schools and the JHU Homewood in analyzing existing programming and associated trainings and work with Baltimore City Schools to build a training curriculum that could be replicated at other Baltimore City-based colleges and universities that also work with City Schools’ students.¿

Further help on this page can be found by clicking here .","The TMA AmeriCorps VISTA Member will be an integral part of the Center for Social Concern (CSC) working to build and implement training and onboarding protocols for Baltimore higher education institutions; train students on best practice in tutoring, risk management, and ethical community engagement and collaboration with City Schools; and assess the program and make adjustments to the scope of project as needed.","Relocation Allowance , Childcare assistance if eligible , Health Coverage* , Education award upon successful completion of service , Living Allowance , Training , Choice of Education Award or End of Service Stipend .",None,['Education'],"['Team Work', 'Computers/Technology', 'Education', 'Community Organization', 'General Skills', 'Communications']",['AmeriCorps VISTA'],07/17/2025,07/16/2026,['Full Time'],College graduate,18,None,,From  06/01/2025  To  12/31/2025,06/01/2025,12/31/2025,"Ben  Belz
3103 N Charles St
Baltimore   MD   21218
410-516-4351",126745,['Maryland'],['Washington/Baltimore']
25-26 VISTA Community Engagement Specialist  - Columbus,"Catholic Social Services’ Our Lady of Guadalupe Center (OLGC) works to reduce poverty in the rapidly growing Hispanic population in Central Ohio. We do this by providing access to professional social services, case management, emergency assistance, workforce development, and social connectedness. The OLGC is the only center of its kind in Franklin County offering the full services of a food pantry and case management to the Hispanic population. 
The OLGC provides an array of services including:  
Baby supplies, safety classes, and empowerment programming for moms with young children  
Case management  
Community and wellness events  
English as a Second Language (ESL) classes  
Entrepreneurship classes  
Food and emergency financial assistance  
Legal immigration counseling  
Personal development groups  
Workforce development
This VISTA position is a part of Catholic Charities USA’s Family Strengthening Program, a national intermediary project. As a member, you will meet virtually with VISTA Leaders and other VISTAs serving throughout the country, all focused on alleviating poverty.

Further help on this page can be found by clicking here .","Community Engagement/Recruitment: Recruit volunteers with local colleges and universities. Recruit volunteers through local Catholic high schools. Recruit volunteers through Spanish-serving parishes, churches, and community partners, with a focus on recruiting English-speaking individuals interested in being ESL instructors. Coordinate logistics for interested volunteers. Draft communications Screen volunteers Data entry in ECM platform and Galaxy Digital, volunteer database. Assist in the process to streamline ESL instructors. ESL Curriculum: Research curriculum to expand ESL programming by offering other learning formats such as conversation groups, drop-in lessons, monthly classes, short term classes (8-12 weeks), and one-on-one classes. Collect, utilize, and report program data. Event Planning: Coordinate OLGC Open House and end-of-year celebration to celebrate community partners, alumni, current students, instructors and interested volunteers.","Choice of Education Award or End of Service Stipend , Living Allowance , Relocation Allowance , Childcare assistance if eligible , Training , Health Coverage* .","Permits attendance at school during off hours , Car recommended , Permits working at another job during off hours .",['Community Outreach'],"['Communications', 'Writing/Editing', 'Recruitment', 'Computers/Technology', 'Community Organization']",['AmeriCorps VISTA'],08/25/2025,08/24/2026,['Full Time'],Associates degree (AA),18,None,['Spanish'],From  05/15/2025  To  10/01/2025,05/15/2025,10/01/2025,"Ramona Reyes
197 East Gay Street
Columbus   OH   43215
(614)340-7061
rreyes@colcss.org
https://colscss.org",126539,['Ohio'],
Crossroads Development and Community Engagement VISTA Year 2,"Crossroads’ mission and vision is to build nutrition-stable communities in Dallas, Ellis, and Navarro counties, serving residents who meet the federal poverty guidelines as no- or low-income. Crossroads uses a collaborative approach to revolutionize the food distribution model through food equity research, and our on-site Community Market client-centered services, and community partner engagement for residents of Dallas County who meet the federal poverty guidelines as no- or low-income. Our facility houses the North Texas Food Banks SNAP team, which allows clients who come out to our Community Market to inquire, apply or re-certify for SNAP benefits before completing their shopping experience with us. For individuals who consistently come to the Community Market over three consecutive months, we introduce them to our From Food to Finances program, which marries our transition from food crisis to food stabilization model with food navigation, food resourcing, and financial coaching. The VISTA member will serve to support Crossroads’ effort to maintain sustainability and growth through fund development, community outreach and volunteer management.

Further help on this page can be found by clicking here .","The Development and Community Engagement VISTA will build capacity in the department by utilizing fundraising strategies that include, soliciting cash and in-kind donations, managing the donor database to cultivate and increase donor retention, building brand awareness through community outreach activities and social media marketing and where necessary assist with volunteer recruitment. They will also implement best practices to effectively use the donor database to improve donor relationship management, retention, cultivation and solicitation. The Crossroads Development and Community Engagement VISTA member will support Crossroads’ effort to maintain sustainability and growth through fund development, community outreach and volunteer management. Additionally, the member will build brand awareness through community outreach activities and social media marketing. Please note seeking individual that is proficient in English and Spanish.","Childcare assistance if eligible , Health Coverage* , Training , Living Allowance , Choice of Education Award or End of Service Stipend , Relocation Allowance .","Permits attendance at school during off hours , Permits working at another job during off hours , Car recommended .","['Education', 'Health', 'Hunger', 'Community Outreach']","['Public Speaking', 'Writing/Editing', 'Fund raising/Grant Writing', 'Communications', 'Public Health', 'Recruitment', 'Non-Profit Management', 'Social Services', 'Team Work', 'General Skills', 'Community Organization']",['AmeriCorps VISTA'],08/25/2025,08/24/2026,['Full Time'],College graduate,18,None,['Spanish'],From  11/26/2024  To  08/02/2025,11/26/2024,08/02/2025,"Jessica Jones
4500 S Cockrell Hill Rd
Dallas   TX   75236
5122872028
americorpsvista@onestarfoundation.org
https://ccsdallas.org/",125093,['Texas'],['Dallas/Ft. Worth']
M:STL Beyond School Associate,"Mission: St. Louis Beyond School is an expanded learning opportunity embedded at partner school sites bridging in-school needs with after-school support. The goal of Beyond School is to provide a dynamic support system to ensure our students graduate high school prepared for and motivated to seek post-secondary education. We focus on individual academic support, intentional social/emotional learning, community engagement, and enrichment experiences.

Further help on this page can be found by clicking here .","The Associate ACM position is responsible for helping to create and implement a high quality Beyond School Program. This in-office/in-person, part-time position requires someone who is skilled not only with communication, scheduling, and logistics, but also is able to connect with students and families, alike. The primary focus of the Associate’s work with scholars revolves around the scholars’ academic and social/emotional growth and getting them to cultivate habits that will result in life-long success. They must be able to respond with positive, appropriate behavior, even in frustrating situations with at-risk youth. The Associate reports to the Beyond School Site Coordinator. This person must be willing to take direction, voice ideas in a respectful manner, and function as a team member with other Beyond School team members.","Education award upon successful completion of service , Relocation Allowance , Training , Living Allowance .","Permits attendance at school during off hours , Car recommended , Permits working at another job during off hours .","['Children/Youth', 'Education']","['Youth Development', 'Teaching/Tutoring', 'Education', 'Team Work']",['AmeriCorps State / National'],08/01/2025,07/18/2026,['Part Time'],High school diploma/GED,17,99,,From  02/27/2025  To  08/28/2025,02/27/2025,08/28/2025,"Gabrielle Inyart
3108 N Grand Blvd
Saint Louis   MO   63107
314-448-9361
gabrielle@missionstl.org
www.missionstl.org",125861,['Missouri'],
Caring Circles,"Caring Circles Members will serve 600 older adults in Maricopa County and focus on the CNCS priority areas Aging in Place to help promote the capacity for independent living and Healthy Futures to help provide technology education and assistance.

Further help on this page can be found by clicking here .","Caring Circles Members will: 1. Provide supportive services such as friendly home visits, reassurance phone calls, transportation to/from medical appointments, grocery shopping, and food box delivery to homebound seniors as assigned 2. Identify any needs related to hunger and provide support, education, and resources 3. Support volunteer recruitment & engagement efforts through participation in outreach events 4. Look for opportunities to connect clients with technology to reduce social isolation and improve access to goods and resources.","mileage , Training , Stipend , Education award upon successful completion of service .",Car recommended .,"['Hunger', 'Elder Care', 'Public Safety', 'Education', 'Health']","['Community Organization', 'Education', 'Social Services', 'Team Work', 'First Aid', 'Recruitment', 'Computers/Technology', 'Counseling']",['AmeriCorps State / National'],09/01/2024,07/25/2025,['Part Time'],Some college,25,99,['English'],From  07/25/2024  To  08/20/2025,07/25/2024,08/20/2025,"Heidi Donniaquo
1366 E Thomas Rd
Phoenix   AZ   85014
6029356844
Heidi.donniaquo@aaaphx.org
www.aaaphx.org",106725,['Arizona'],
Healthy Lifestyles Coach - Boys & Girls Clubs of Acadiana,"AmeriCorps members serve as mentors to help make learning fun for Club members in areas such as Education & Career Development, Character & Leadership Development, Sports, Fitness & Recreation, the Arts, and Health & Life Skills. The focus of this summer program is healthy lifestyles and futures including helping shape character traits that will translate into a successful future. Members Complete a minimum of 300 hours and the full service term: May - July: Monday – Friday – 8:00 am – 5:30 pm; Week off July 4-8 Living Allowance (term used for PAY): $2,600* per term: divided in equal pay periods throughout the term. Educational Award:  over $1,300 NOTE: Living Allowance and Education Award amounts are subject to change each term. Must be 18 years old; U.S. citizen or lawful permanent resident; MUST Attend mandatory AmeriCorps activities including PSO, trainings, & Service project(s); Living Allowance stipend paid according to Boys & Girls Clubs pay schedule, with standard deductions; Experience in working with children preferred, but not required. Ability to motivate and encourage youth. Ability to deal with the general public. Ability to organize and supervise Club members in a safe environment. Emotional and mental stability required when working with children. Valid State Driver’s License & own transportation strongly preferred. Desire to work in a creative, fast paced, team environment. Problem solving and conflict resolution skills. All candidates must pass post-offer/pre-service requirements, including: Criminal Background Check and Drug Screening.

Further help on this page can be found by clicking here .","AmeriCorps members serve as mentors to help make learning fun for Club members in areas such as Education & Career Development, Character & Leadership Development, Sports, Fitness & Recreation, the Arts, and Health & Life Skills. The focus of this summer program is healthy lifestyles and futures including helping shape character traits that will translate into a successful future. Members Complete a minimum of 300 hours and the full service term: May 2024- July 2024: Monday – Friday – 8:00 am – 5:30 pm; Week off July 1-5","Education award upon successful completion of service , Training , Living Allowance .","Uniforms provided and required , Car recommended , Permits attendance at school during off hours , Permits working at another job during off hours .","['Children/Youth', 'Education']","['Education', 'Conflict Resolution', 'Youth Development', 'Teaching/Tutoring', 'General Skills', 'Leadership', 'Team Work']",['AmeriCorps State / National'],05/20/2024,07/31/2025,['Summer'],,18,None,['English'],From  03/04/2024  To  07/31/2025,03/04/2024,07/31/2025,"Kaitlyn Collins
1405 W Pinhook Rd
Lafayette   LA   70503
3372689555
kcollins@bgcacadiana.com
www.bgcacadiana.com",117443,['Louisiana'],
MARCO Community Outreach Capacity Building Member,"Through the Community Builder Program, the Minot Area Recovery Community Organization (MARCO) is committed to building a strong, supportive recovery community where individuals seeking recovery can find connection, hope, and long-term healing. MARCO fosters a stigma-free environment where people in recovery, their families, and allies can access peer support, resources, and sober social opportunities.

By promoting a culture of acceptance and empowerment, MARCO helps individuals navigate their recovery journey with the support of a compassionate network. Through advocacy, education, and collaboration with community partners, MARCO works to reduce barriers to recovery and increase awareness of substance use disorder.

MARCO believes that recovery is more than just sobriety—it’s about rebuilding lives, restoring relationships, and strengthening communities. By providing a safe space for engagement, mentorship, and personal growth, MARCO helps individuals find purpose, connection, and sustained recovery.

Further help on this page can be found by clicking here .","Through the Community Builder Program, the MARCO AmeriCorps Community Outreach Capacity Building Member will play a key role in supporting the Minot Area Recovery Community Organization's (MARCO) mission by strengthening community outreach efforts. By collaborating with local schools, organizations, businesses, and residents, the member will help build and sustain relationships that are vital to the organization's mission of supporting those in recovery. The member will assist in the creation and implementation of outreach strategies, provide logistical support for community events, and promote programs that foster healing and connection. Additionally, they will help cultivate partnerships that align with the organization's values, contributing to a supportive and engaged recovery community.","$150 per month in grocery/rent assistanc , Education award upon successful completion of service , Stipend , Living Allowance , Training .","Permits attendance at school during off hours , Car recommended , Permits working at another job during off hours .","['Community Outreach', 'Health']",['None'],['AmeriCorps State / National'],03/15/2025,09/30/2025,['Part Time'],High school diploma/GED,18,None,,From  03/04/2025  To  12/31/2025,03/04/2025,12/31/2025,"Victoria Nicholson
18 2nd St SE Suite 2
Minot   ND   58703
7017127304
victoria@sourisbasin.org
https://www.sourisbasin.org/opportunity-listings",125921,['North Dakota'],
EngageCorps VISTA at William Paterson University,"The VISTA volunteer will work at William Paterson University, Campus Activities, Service and Leadership (CASL) Office. The primary function will be to implement and coordinate the Changebuilder program using service learning as the strategy to address community needs related to education, public health, economic development, neighborhood revitalization, homelessness, poverty, and hunger. The VISTA will work with WP students to create community connections and coordinate programs and activities to inform and engage the WP community in civic engagement, social change, and service projects. They will assist in the coordination of Pioneer Service Ventures, National Day of Service, MLK Day of Service, and Civic Engagement Week. The VISTA will work in conjunction with CASL staff to provide students with opportunities for civic engagement on and off campus. The VISTA volunteer will also assist with managing all aspects of the Pioneer Food Pantry including recruiting and scheduling volunteers, assessing student needs, obtaining and maintaining supplies, donations, etc. The VISTA will work in conjunction with CASL staff to provide students with opportunities for civic engagement (on and off campus) concerning hunger, food insecurity, and homelessness.  The Vista will track and report volunteer participation as part of WP's Civic Engagement digital badge program and the department's civic engagement participation key performance indicator. They will promote the use of the pantry, prepare monthly reports for usage and inventory, create a newsletter for participants, learn and share on and off-campus resources, etc.

Further help on this page can be found by clicking here .","Oversee the WP Changebuilder program, including creating and identifying civic engagement and service opportunities for students on and off campus. Work with WPU community partners to provide opportunities for students to volunteer to assist local nonprofit agencies, government offices, public schools, and other community organizations. Recruit students of all backgrounds to volunteer on and off campus. Work with the Career Development Office to help students translate service into skills for the workplace and the social application of excellence. Work with supervisor to maintain program compliance; Track all relevant program data and compile these monthly and quarterly for Engage NJ. Oversee the operation of the WP Pioneer Food Pantry, which includes scheduling volunteers, assessing student needs, and promoting resources. Responsible for maintaining supplies and tracking usage. Help educate the WP community about food insecurity and assist with donation drives.","Childcare assistance if eligible , Professional Development , Relocation Allowance , Health Coverage* , Choice of Education Award or End of Service Stipend , Living Allowance , Education award upon successful completion of service , Stipend , Training .","Car recommended , Permits attendance at school during off hours , Permits working at another job during off hours .","['Community Outreach', 'Hunger']","['General Skills', 'Recruitment', 'Youth Development', 'Public Speaking', 'Education', 'Community Organization', 'Writing/Editing', 'Team Work', 'Computers/Technology', 'Conflict Resolution', 'Leadership']",['AmeriCorps VISTA'],08/26/2025,08/22/2026,['Full Time'],College graduate,18,None,['English'],From  06/17/2025  To  12/02/2025,06/17/2025,12/02/2025,"Saul Petersen
1 Normal Ave
Montclair   NJ   07043
6093353668
info@engagenj.org",122433,['New Jersey'],['New York City (inc. Long Island CT NJ NY)']
Kids in Tech Fundraising and Development VISTA,"Kids in Tech, Inc’s (KIT’s) mission is to excite, educate, and empower children to acquire skills and confidence in technology through interactive after school programs. The existing STEM educational framework does few favors for low-income children, who statistically tend to live in urban or suburban settings and be ethnic minorities. Without targeted interventions that promote STEM education for low-income and BIPOC students, their interests and potential will remain untapped. After-school STEM programs have provided evidence that, even in specialized curriculum settings, children who qualify for lunch subsidies scored lower than their counterparts who did not qualify. Elementary and middle school aged children in these programs did see improvements to their outcomes, and under-privileged groups saw the greatest gains. After-school STEM programs have demonstrated a unique learning environment that enables group-centered and hands-on-learning that make demonstrable gains in knowledge acquisition.

KIT’s after school programs have been a vital supplemental opportunity for low-income youth in Lowell schools and housing authority for the past 8 years, and expanded to serve students in Boston in 2021. Performance in STEM areas for these groups remains low in Lowell, Boston, and nationally. Thus, it is critical that after school STEM programs are able to expand to meet the needs of as more students require support and time to provide remedial education. KIT’s VISTA project will seek to prepare KIT to serve more low-income, minority students in Massachusetts by increasing the organization’s fundraising, communications, curricula, fundraising, and monitoring and evaluation (M&E), and expects to benefit 300 youth aged 8 to 14 from schools where at least 50% of students qualify for the National School Lunch Program (NSLP).

Further help on this page can be found by clicking here .","Fundraising and Development VISTA will be responsible for organizing, supporting, and executing KIT’s fundraising database and reports. This person will report to VISTA Program Supervisors and work closely with Founder & CEO and Director of Development and Communications. The Fundraising and Development VISTA’s efforts will include donor database establishment and management, preparing reports from the database for the ED, preparing reports for funders, individual donors and major gifts development support for the ED, support the ED in preparing funding proposals, and building partnerships with research institutions.","Childcare assistance if eligible , Training , Relocation Allowance , Health Coverage* , Living Allowance , Choice of Education Award or End of Service Stipend .","Permits attendance at school during off hours , Permits working at another job during off hours .","['Education', 'Children/Youth', 'Technology']","['Fund raising/Grant Writing', 'Writing/Editing', 'Team Work']",['AmeriCorps VISTA'],01/13/2025,01/12/2026,['Full Time'],College graduate,18,None,['English'],From  05/17/2024  To  01/12/2026,05/17/2024,01/12/2026,"Olu Ibrahim
660 Suffolk St
Lowell   MA   01854
9788216218
info@kidsintech.org
kidsintech.org",115833,['Massachusetts'],['Boston']
25-26- D&CSS Habitat - Housing Action Corps - Development,"The Development Database Analyst will serve with DuPage and Chicago South Suburbs Habitat for Humanity in Wheaton, IL from August 2025-2026.  DuPage and Chicago South Suburbs Habitat for Humanity (DHFH-CSS) is part of Housing Action Corps, an AmeriCorps VISTA program managed by Housing Action Illinois since 2010. Housing Action Corps members receive custom training, support, and networking opportunities in housing and community development, in addition to the traditional benefits of AmeriCorps VISTA. Learn more: housingactionil.org/americorps.
At DHFH-CSS, we envision a world where every person has a decent place to live. We provide affordable mortgages and home repairs to communities across DuPage County and Chicago South Suburbs. We rely on monetary donations from individuals to pay for our vital programs. The Development Database Analyst will enhance our donor database to refine how we cultivate new individual donors and create a culture of gratitude for donors. They would research local individual donor behavior and industry best practices to identify new strategies to engage and retain donors in our service areas. 
Our ideal candidate would thrive with little direction, demonstrate flexible thinking, and have a love of analyzing data. Previous experience with databases recommended. This position offers a supplemental benefit of $1/month rental housing in the Chicago South Suburbs.

Further help on this page can be found by clicking here .","Nearly half of renters and one-third of homeowners in DuPage and Cook Counties are cost-burdened. DHFH-CSS offers affordable mortgages and home repairs that help reduce housing costs, but we need sustainable funding to increase our capacity to serve families in our two service areas. The Development Database Analyst will identify and execute donor outreach strategies to cultivate and retain a network of individual donors. In addition to streamlining our donor database, the VISTA will use research to evaluate new donor cultivation and retention techniques. They will also create a dashboard for reporting on donors to the Board of Directors.","Training , Choice of Education Award or End of Service Stipend , Living Allowance , Relocation Allowance , Health Coverage* , Housing , Childcare assistance if eligible , $1/month rental housing in the Chicago S .","Permits attendance at school during off hours , Car recommended , Permits working at another job during off hours .",['Housing'],"['Writing/Editing', 'Communications', 'Fund raising/Grant Writing', 'Computers/Technology']",['AmeriCorps VISTA'],08/25/2025,08/24/2026,['Full Time'],Some college,18,None,,From  05/14/2025  To  08/01/2025,05/14/2025,08/01/2025,"AmeriCorps Leader
1600 E Roosevelt Rd
Wheaton   IL   60187
3129396074
AmeriCorps@housingactionill.org
housingactionil.org/americorps",126383,['Illinois'],
Tech Generation Educational Resource VISTA,"Tech Generation Learning Center (TGLC) serves at-risk youth in the West Point, MS area by providing quality educational services and life enrichment activities. As the city faces an average poverty rate around 31.9%, afterschool and summer programming provided by agencies such as TGLC fight poverty by helping to ensure academic success and healthy living for its youth participants, which enable a successful transition for area youth into productive adults. The AmeriCorps VISTA will build capacity by establishing new partnerships with area colleges, leveraging additional resources, and improving Tech Generation’s ability to offer STEM education to its youth participants.

Further help on this page can be found by clicking here .","The VISTA will primarily focus on improving educational outcomes for Tech Generation participants by indirectly supporting tutoring efforts and identifying additional enrichment or intervention materials to enhance students’ learning experiences. The VISTA will also establish, strengthen, and expand relationships between the Tech Generation Learning Center and community organizations, educational institutions, and other major stakeholders.","Health Coverage* , Childcare assistance if eligible , Training , Choice of Education Award or End of Service Stipend , Relocation Allowance , Living Allowance .",Car recommended .,"['Education', 'Technology', 'Children/Youth']","['Youth Development', 'Conflict Resolution', 'Fund raising/Grant Writing', 'Writing/Editing', 'Teaching/Tutoring', 'Education', 'Team Work']",['AmeriCorps VISTA'],08/25/2025,08/24/2026,['Full Time'],High school diploma/GED,18,None,['English'],From  06/24/2025  To  08/25/2026,06/24/2025,08/25/2026,"Christian  Bradley
223 22nd St N
Columbus   MS   39701
6623701922
cbradley@liveunitedms.org
www.liveunitedms.org",121593,['Mississippi'],
Health Promotion Council TCAP - Chronic Disease Management,"The VISTA will develop a comprehensive and integrated network of program recruitment, delivery, referral partners, and implement best practices for engaging low-income residents in vulnerable sections of Philadelphia. Targeted subpopulations will include African-Americans and other minorities with specific program goals around chronic disease self-management education, program enrollment and retention for the prevention and management of chronic disease, arthritis, and chronic pain. The VISTA will expand partnerships to reach more diverse populations in effort to identify better approaches to assist individuals in achieving optimal health outcomes.

Further help on this page can be found by clicking here .","1. Track and report the outcomes of implementing best practice locations and impact upon participant enrollment and retention to share at meetings, conferences and with sustainability partners. 2. Establish an effective communication system between health care providers, patients/attendees and program delivery team to efficiently allow Health Promotion Council (HPC) to offer programming at health centers and other community-based partner sites. 3. Establish a timeline for conducting outreach and recruiting community participants for programs to ensure maximum enrollment and retention for completion of the prevention and/or management program. 4. Research best practices and successes from guided peer-based problem solving for a wide array of issues to develop manual on communities to improve their health or ability to manage their health. 5. Develop database of community members previously trained in the program to deliver self-management education programs to their peer group.","Health Coverage* , Training , Living Allowance , Childcare assistance if eligible , Choice of Education Award or End of Service Stipend , Relocation Allowance .","Permits working at another job during off hours , Permits attendance at school during off hours .","['Health', 'Education', 'Elder Care', 'Community Outreach']","['Public Health', 'Community Organization', 'Education', 'Counseling', 'Communications']",['AmeriCorps VISTA'],10/15/2025,10/14/2026,['Full Time'],Some college,18,None,['English'],From  06/25/2025  To  10/25/2025,06/25/2025,10/25/2025,"Kathryn Soll
4601 Market St
Philadelphia   PA   19139
4844247555
ksoll@phmc.org",100102,['Pennsylvania'],['Philadelphia/Wilmington/Atlantic City']
Adult Literacy Instructor,"We assist adult learners to realize their potential as confident, self-sufficient, and productive employees, supportive parents, and engaged community members.

 
Mission: Advancing literacy through training, tutoring, English language acquisition and advocacy for all Delawareans.
 

Vision: Empowering all Delawareans through Literacy.

Further help on this page can be found by clicking here .","This position will provide direct support to adult learners throughout the state of Delaware. Duties include but are not limited to developing lesson plans, conducting one-on-one tutoring sessions, and facilitating small class instruction, overall support of Literacy Delaware programming. • Conduct initial learner assessments and benchmark learners • Prepare and facilitate lesson plans tailored to learners needs and goals • Coach and instruct learners one-on-one and in small groups over a wide spectrum of literacy needs • Assist adult learners in setting and meeting their goals • Collaborate with and maintain relationships with community partners and local libraries • Communicate regularly with coordinators on learner needs, attendance and other pertinent information • Support the tracking and reporting of data • Assist with learner and volunteer recruitment, recognition, and engagement efforts","Training , Stipend .",Car recommended .,,['Community Organization'],['AmeriCorps State / National'],09/02/2024,06/30/2025,['Part Time'],,None,None,['English'],From  08/16/2024  To  08/17/2025,08/16/2024,08/17/2025,"Leslie McGowan
10 E 10th St
Wilmington   DE   19801
3026585624
operations@literacydelaware.org
literacydelaware.org",120506,['Delaware'],['Philadelphia/Wilmington/Atlantic City']
